	date	year	month	day	1	2	5	6	7	8	9	11	12	13	14	15	16	19	20	21
62	2015-03-04	2015	3	4	1676.0	1815.0	205.0	1592.0	1145.0	113.0	809.0	353.0	144.0	329.0	116.0	378.0	61.0	3534.0	3907.0	16269.0
63	2015-03-05	2015	3	5	1692.0	1840.0	210.0	1600.0	1161.0	116.0	821.0	358.0	144.0	335.0	116.0	380.0	60.0	3595.0	3918.0	16388.0
64	2015-03-06	2015	3	6	1699.0	1861.0	215.0	1613.0	1175.0	119.0	818.0	363.0	147.0	337.0	117.0	385.0	61.0	3642.0	3952.0	16571.0
65	2015-03-07	2015	3	7	1717.0	1882.0	218.0	1625.0	1190.0	121.0	824.0	366.0	146.0	337.0	119.0	386.0	61.0	3675.0	3986.0	16722.0
66	2015-03-08	2015	3	8	1735.0	1905.0	216.0	1639.0	1206.0	125.0	836.0	369.0	149.0	336.0	123.0	394.0	62.0	3712.0	4007.0	16875.0
67	2015-03-09	2015	3	9	1750.0	1921.0	215.0	1659.0	1216.0	127.0	845.0	379.0	150.0	340.0	124.0	392.0	62.0	3761.0	4033.0	17045.0
68	2015-03-10	2015	3	10	1773.0	1942.0	217.0	1672.0	1229.0	131.0	857.0	381.0	151.0	346.0	124.0	392.0	63.0	3789.0	4058.0	17188.0
69	2015-03-11	2015	3	11	1783.0	1965.0	216.0	1673.0	1236.0	135.0	859.0	385.0	153.0	350.0	124.0	393.0	66.0	3827.0	4112.0	17334.0
70	2015-03-12	2015	3	12	1808.0	1981.0	221.0	1694.0	1254.0	138.0	865.0	389.0	156.0	354.0	124.0	399.0	66.0	3872.0	4130.0	17505.0
71	2015-03-13	2015	3	13	1826.0	2009.0	221.0	1703.0	1267.0	139.0	875.0	391.0	160.0	357.0	123.0	402.0	66.0	3886.0	4156.0	17636.0
72	2015-03-14	2015	3	14	1838.0	2021.0	223.0	1714.0	1280.0	144.0	885.0	396.0	161.0	360.0	125.0	400.0	68.0	3932.0	4168.0	17803.0
73	2015-03-15	2015	3	15	1860.0	2037.0	225.0	1719.0	1297.0	147.0	895.0	404.0	163.0	366.0	124.0	403.0	68.0	3974.0	4204.0	17947.0
74	2015-03-16	2015	3	16	1880.0	2050.0	223.0	1723.0	1321.0	151.0	900.0	409.0	164.0	368.0	125.0	404.0	68.0	4025.0	4247.0	18108.0
75	2015-03-17	2015	3	17	1900.0	2082.0	224.0	1733.0	1336.0	152.0	907.0	416.0	165.0	368.0	129.0	407.0	68.0	4078.0	4282.0	18312.0
76	2015-03-18	2015	3	18	1915.0	2097.0	226.0	1742.0	1348.0	150.0	916.0	418.0	165.0	371.0	131.0	411.0	68.0	4121.0	4322.0	18472.0
77	2015-03-19	2015	3	19	1946.0	2119.0	234.0	1759.0	1366.0	152.0	920.0	423.0	163.0	373.0	132.0	412.0	69.0	4162.0	4343.0	18666.0
78	2015-03-20	2015	3	20	1976.0	2147.0	237.0	1765.0	1375.0	153.0	929.0	427.0	165.0	376.0	133.0	412.0	69.0	4193.0	4377.0	18831.0
79	2015-03-21	2015	3	21	2001.0	2171.0	236.0	1780.0	1386.0	156.0	940.0	432.0	165.0	378.0	136.0	414.0	69.0	4217.0	4386.0	18989.0
80	2015-03-22	2015	3	22	2011.0	2196.0	238.0	1769.0	1392.0	160.0	941.0	436.0	166.0	383.0	137.0	412.0	69.0	4252.0	4425.0	19194.0
81	2015-03-23	2015	3	23	2036.0	2215.0	243.0	1781.0	1402.0	160.0	938.0	437.0	169.0	383.0	136.0	418.0	69.0	4294.0	4458.0	19315.0
82	2015-03-24	2015	3	24	2054.0	2238.0	243.0	1788.0	1412.0	160.0	946.0	442.0	170.0	387.0	136.0	428.0	69.0	4328.0	4501.0	19511.0
83	2015-03-25	2015	3	25	2074.0	2253.0	246.0	1802.0	1425.0	162.0	961.0	446.0	171.0	389.0	137.0	428.0	72.0	4375.0	4519.0	19683.0
84	2015-03-26	2015	3	26	2094.0	2287.0	249.0	1804.0	1435.0	162.0	971.0	452.0	175.0	392.0	140.0	432.0	72.0	4407.0	4570.0	19861.0
85	2015-03-27	2015	3	27	2118.0	2305.0	243.0	1809.0	1451.0	161.0	979.0	460.0	177.0	394.0	140.0	435.0	69.0	4463.0	4599.0	20025.0
86	2015-03-28	2015	3	28	2134.0	2325.0	249.0	1832.0	1468.0	163.0	992.0	467.0	176.0	396.0	140.0	444.0	69.0	4496.0	4627.0	20192.0
87	2015-03-29	2015	3	29	2157.0	2351.0	253.0	1838.0	1473.0	167.0	997.0	474.0	177.0	399.0	144.0	452.0	69.0	4542.0	4655.0	20339.0
88	2015-03-30	2015	3	30	2182.0	2375.0	252.0	1855.0	1490.0	167.0	1012.0	477.0	176.0	402.0	146.0	456.0	69.0	4585.0	4679.0	20466.0
89	2015-03-31	2015	3	31	2209.0	2404.0	257.0	1873.0	1494.0	169.0	1020.0	479.0	177.0	407.0	144.0	461.0	69.0	4623.0	4716.0	20625.0
90	2015-04-01	2015	4	1	2213.0	2408.0	250.0	1889.0	1498.0	173.0	1020.0	473.0	173.0	409.0	144.0	463.0	69.0	4646.0	4687.0	20605.0
91	2015-04-02	2015	4	2	2225.0	2421.0	246.0	1892.0	1503.0	173.0	1023.0	473.0	171.0	409.0	147.0	463.0	72.0	4666.0	4670.0	20613.0
92	2015-04-03	2015	4	3	2231.0	2412.0	247.0	1903.0	1497.0	174.0	1033.0	473.0	169.0	408.0	144.0	460.0	71.0	4674.0	4670.0	20622.0
93	2015-04-04	2015	4	4	2232.0	2405.0	247.0	1937.0	1498.0	175.0	1032.0	474.0	168.0	405.0	144.0	450.0	72.0	4692.0	4667.0	20642.0
94	2015-04-05	2015	4	5	2242.0	2397.0	245.0	1958.0	1498.0	174.0	1032.0	479.0	170.0	410.0	143.0	447.0	74.0	4703.0	4656.0	20635.0
95	2015-04-06	2015	4	6	2245.0	2400.0	248.0	1965.0	1486.0	175.0	1033.0	476.0	170.0	413.0	142.0	445.0	73.0	4696.0	4637.0	20617.0
96	2015-04-07	2015	4	7	2253.0	2385.0	249.0	1982.0	1479.0	178.0	1023.0	482.0	167.0	414.0	144.0	437.0	75.0	4682.0	4641.0	20641.0
97	2015-04-08	2015	4	8	2240.0	2389.0	246.0	1998.0	1484.0	181.0	1017.0	485.0	164.0	411.0	144.0	437.0	75.0	4672.0	4628.0	20653.0
98	2015-04-09	2015	4	9	2228.0	2399.0	244.0	2007.0	1482.0	179.0	1001.0	485.0	164.0	414.0	144.0	437.0	77.0	4664.0	4605.0	20661.0
99	2015-04-10	2015	4	10	2234.0	2392.0	242.0	2033.0	1480.0	178.0	1004.0	484.0	164.0	416.0	145.0	439.0	77.0	4679.0	4572.0	20686.0
100	2015-04-11	2015	4	11	2226.0	2402.0	239.0	2040.0	1483.0	180.0	1004.0	491.0	163.0	418.0	144.0	433.0	78.0	4670.0	4549.0	20680.0
101	2015-04-12	2015	4	12	2231.0	2404.0	235.0	2059.0	1490.0	179.0	1004.0	492.0	166.0	420.0	145.0	430.0	77.0	4676.0	4541.0	20702.0
102	2015-04-13	2015	4	13	2256.0	2397.0	233.0	2085.0	1493.0	179.0	998.0	486.0	164.0	421.0	145.0	429.0	77.0	4683.0	4550.0	20701.0
103	2015-04-14	2015	4	14	2249.0	2400.0	237.0	2100.0	1493.0	180.0	997.0	486.0	160.0	417.0	145.0	433.0	77.0	4679.0	4549.0	20694.0
104	2015-04-15	2015	4	15	2248.0	2412.0	238.0	2110.0	1491.0	181.0	992.0	489.0	162.0	421.0	145.0	440.0	77.0	4675.0	4535.0	20689.0
105	2015-04-16	2015	4	16	2244.0	2417.0	235.0	2143.0	1489.0	182.0	994.0	487.0	168.0	423.0	145.0	440.0	77.0	4667.0	4526.0	20690.0
106	2015-04-17	2015	4	17	2242.0	2409.0	235.0	2167.0	1480.0	186.0	989.0	488.0	170.0	424.0	142.0	442.0	77.0	4655.0	4499.0	20729.0
107	2015-04-18	2015	4	18	2247.0	2418.0	230.0	2194.0	1481.0	183.0	981.0	487.0	173.0	423.0	141.0	447.0	78.0	4631.0	4493.0	20757.0
108	2015-04-19	2015	4	19	2252.0	2414.0	229.0	2209.0	1474.0	183.0	979.0	481.0	173.0	419.0	141.0	447.0	78.0	4632.0	4492.0	20792.0
109	2015-04-20	2015	4	20	2246.0	2428.0	236.0	2235.0	1474.0	183.0	967.0	478.0	175.0	417.0	141.0	447.0	78.0	4634.0	4479.0	20819.0
110	2015-04-21	2015	4	21	2244.0	2418.0	237.0	2271.0	1473.0	179.0	973.0	482.0	176.0	421.0	140.0	445.0	78.0	4622.0	4473.0	20826.0
111	2015-04-22	2015	4	22	2235.0	2433.0	235.0	2278.0	1475.0	179.0	973.0	483.0	177.0	421.0	140.0	439.0	78.0	4606.0	4458.0	20884.0
112	2015-04-23	2015	4	23	2243.0	2435.0	236.0	2304.0	1481.0	181.0	975.0	484.0	176.0	425.0	141.0	433.0	77.0	4612.0	4427.0	20872.0
113	2015-04-24	2015	4	24	2254.0	2444.0	237.0	2333.0	1489.0	184.0	968.0	488.0	176.0	423.0	142.0	429.0	75.0	4624.0	4422.0	20874.0
114	2015-04-25	2015	4	25	2255.0	2451.0	231.0	2353.0	1481.0	189.0	969.0	491.0	173.0	424.0	140.0	425.0	75.0	4626.0	4420.0	20835.0
115	2015-04-26	2015	4	26	2240.0	2450.0	228.0	2372.0	1477.0	194.0	965.0	491.0	175.0	425.0	139.0	431.0	75.0	4626.0	4421.0	20799.0
116	2015-04-27	2015	4	27	2241.0	2470.0	227.0	2380.0	1470.0	197.0	966.0	487.0	174.0	418.0	138.0	432.0	76.0	4637.0	4415.0	20803.0
117	2015-04-28	2015	4	28	2229.0	2472.0	220.0	2383.0	1472.0	201.0	965.0	487.0	171.0	416.0	139.0	427.0	76.0	4640.0	4410.0	20817.0
118	2015-04-29	2015	4	29	2231.0	2468.0	223.0	2389.0	1480.0	201.0	965.0	490.0	171.0	418.0	137.0	423.0	75.0	4606.0	4409.0	20877.0
119	2015-04-30	2015	4	30	2228.0	2460.0	223.0	2400.0	1484.0	201.0	964.0	499.0	168.0	414.0	138.0	425.0	74.0	4611.0	4389.0	20860.0
120	2015-05-01	2015	5	1	2226.0	2464.0	224.0	2380.0	1476.0	200.0	967.0	497.0	167.0	412.0	134.0	426.0	77.0	4599.0	4374.0	20829.0
121	2015-05-02	2015	5	2	2221.0	2455.0	220.0	2377.0	1471.0	201.0	960.0	493.0	163.0	414.0	134.0	426.0	77.0	4589.0	4347.0	20770.0
122	2015-05-03	2015	5	3	2225.0	2448.0	221.0	2362.0	1466.0	198.0	950.0	489.0	162.0	415.0	132.0	424.0	77.0	4588.0	4319.0	20682.0
123	2015-05-04	2015	5	4	2221.0	2436.0	221.0	2343.0	1466.0	198.0	949.0	488.0	162.0	421.0	134.0	424.0	78.0	4582.0	4300.0	20615.0
124	2015-05-05	2015	5	5	2217.0	2427.0	225.0	2325.0	1443.0	198.0	949.0	486.0	159.0	416.0	133.0	425.0	78.0	4590.0	4277.0	20607.0
125	2015-05-06	2015	5	6	2230.0	2423.0	225.0	2304.0	1439.0	198.0	953.0	486.0	157.0	420.0	132.0	428.0	78.0	4563.0	4271.0	20506.0
126	2015-05-07	2015	5	7	2242.0	2419.0	223.0	2281.0	1441.0	197.0	951.0	482.0	156.0	415.0	130.0	429.0	77.0	4554.0	4279.0	20490.0
127	2015-05-08	2015	5	8	2244.0	2408.0	224.0	2254.0	1438.0	197.0	953.0	485.0	155.0	413.0	129.0	430.0	76.0	4567.0	4256.0	20462.0
128	2015-05-09	2015	5	9	2246.0	2408.0	227.0	2225.0	1436.0	194.0	950.0	481.0	154.0	411.0	130.0	426.0	76.0	4566.0	4249.0	20388.0
129	2015-05-10	2015	5	10	2251.0	2405.0	226.0	2201.0	1432.0	196.0	946.0	476.0	156.0	410.0	127.0	431.0	74.0	4543.0	4247.0	20330.0
130	2015-05-11	2015	5	11	2247.0	2405.0	230.0	2186.0	1442.0	197.0	943.0	478.0	157.0	408.0	128.0	433.0	74.0	4549.0	4226.0	20296.0
131	2015-05-12	2015	5	12	2237.0	2393.0	232.0	2186.0	1440.0	197.0	946.0	480.0	157.0	399.0	128.0	437.0	73.0	4557.0	4219.0	20245.0
132	2015-05-13	2015	5	13	2229.0	2392.0	239.0	2167.0	1441.0	199.0	949.0	477.0	158.0	405.0	127.0	432.0	74.0	4541.0	4204.0	20199.0
133	2015-05-14	2015	5	14	2212.0	2386.0	233.0	2146.0	1440.0	201.0	942.0	481.0	155.0	400.0	130.0	438.0	74.0	4541.0	4201.0	20163.0
134	2015-05-15	2015	5	15	2207.0	2392.0	233.0	2134.0	1444.0	201.0	946.0	480.0	155.0	403.0	134.0	436.0	74.0	4547.0	4180.0	20094.0
135	2015-05-16	2015	5	16	2214.0	2382.0	233.0	2109.0	1443.0	200.0	942.0	483.0	154.0	399.0	129.0	438.0	73.0	4563.0	4193.0	20059.0
136	2015-05-17	2015	5	17	2197.0	2381.0	234.0	2095.0	1445.0	201.0	951.0	480.0	152.0	395.0	131.0	439.0	73.0	4540.0	4206.0	20035.0
137	2015-05-18	2015	5	18	2201.0	2371.0	235.0	2068.0	1443.0	200.0	948.0	478.0	153.0	393.0	129.0	440.0	73.0	4539.0	4172.0	20035.0
138	2015-05-19	2015	5	19	2195.0	2363.0	234.0	2037.0	1437.0	201.0	946.0	479.0	153.0	394.0	129.0	440.0	73.0	4524.0	4163.0	19992.0
139	2015-05-20	2015	5	20	2204.0	2353.0	235.0	2026.0	1432.0	200.0	957.0	481.0	155.0	393.0	129.0	442.0	75.0	4516.0	4143.0	19930.0
140	2015-05-21	2015	5	21	2204.0	2353.0	234.0	1994.0	1420.0	203.0	964.0	484.0	153.0	389.0	132.0	439.0	75.0	4502.0	4141.0	19859.0
141	2015-05-22	2015	5	22	2205.0	2355.0	233.0	1973.0	1414.0	205.0	968.0	486.0	149.0	390.0	131.0	440.0	74.0	4507.0	4136.0	19805.0
142	2015-05-23	2015	5	23	2196.0	2348.0	232.0	1951.0	1422.0	211.0	959.0	486.0	148.0	392.0	135.0	440.0	75.0	4499.0	4140.0	19754.0
143	2015-05-24	2015	5	24	2190.0	2349.0	231.0	1940.0	1418.0	212.0	954.0	481.0	142.0	392.0	140.0	442.0	77.0	4492.0	4138.0	19678.0
144	2015-05-25	2015	5	25	2195.0	2353.0	235.0	1914.0	1408.0	216.0	948.0	480.0	141.0	393.0	139.0	446.0	78.0	4481.0	4101.0	19650.0
145	2015-05-26	2015	5	26	2204.0	2344.0	240.0	1893.0	1413.0	217.0	958.0	480.0	142.0	392.0	139.0	447.0	76.0	4489.0	4105.0	19593.0
146	2015-05-27	2015	5	27	2200.0	2344.0	234.0	1885.0	1408.0	215.0	962.0	480.0	146.0	389.0	136.0	443.0	76.0	4501.0	4062.0	19542.0
147	2015-05-28	2015	5	28	2188.0	2341.0	237.0	1879.0	1400.0	213.0	966.0	487.0	147.0	384.0	134.0	439.0	72.0	4507.0	4041.0	19529.0
148	2015-05-29	2015	5	29	2186.0	2322.0	241.0	1861.0	1398.0	215.0	970.0	489.0	151.0	387.0	135.0	444.0	72.0	4505.0	4035.0	19495.0
149	2015-05-30	2015	5	30	2197.0	2323.0	238.0	1853.0	1398.0	214.0	968.0	481.0	150.0	391.0	136.0	446.0	73.0	4504.0	4017.0	19452.0
150	2015-05-31	2015	5	31	2197.0	2325.0	236.0	1851.0	1405.0	215.0	973.0	488.0	146.0	389.0	135.0	447.0	75.0	4509.0	4027.0	19448.0
151	2015-06-01	2015	6	1	2193.0	2331.0	241.0	1860.0	1393.0	213.0	975.0	491.0	148.0	395.0	137.0	449.0	77.0	4500.0	4030.0	19484.0
152	2015-06-02	2015	6	2	2192.0	2344.0	242.0	1855.0	1397.0	212.0	972.0	490.0	148.0	397.0	137.0	449.0	78.0	4501.0	4029.0	19513.0
153	2015-06-03	2015	6	3	2199.0	2347.0	244.0	1857.0	1398.0	210.0	979.0	487.0	150.0	393.0	137.0	447.0	79.0	4491.0	4031.0	19518.0
154	2015-06-04	2015	6	4	2200.0	2345.0	244.0	1847.0	1397.0	209.0	988.0	484.0	151.0	393.0	137.0	453.0	78.0	4480.0	4044.0	19518.0
155	2015-06-05	2015	6	5	2195.0	2352.0	241.0	1847.0	1408.0	213.0	986.0	483.0	151.0	394.0	138.0	455.0	79.0	4486.0	4035.0	19549.0
156	2015-06-06	2015	6	6	2183.0	2356.0	238.0	1849.0	1416.0	218.0	991.0	488.0	149.0	395.0	137.0	453.0	80.0	4484.0	4028.0	19547.0
157	2015-06-07	2015	6	7	2187.0	2368.0	242.0	1859.0	1411.0	218.0	996.0	483.0	149.0	396.0	135.0	456.0	80.0	4492.0	4026.0	19570.0
158	2015-06-08	2015	6	8	2169.0	2371.0	243.0	1866.0	1414.0	217.0	997.0	489.0	149.0	393.0	139.0	460.0	79.0	4504.0	4036.0	19574.0
159	2015-06-09	2015	6	9	2186.0	2376.0	241.0	1878.0	1419.0	215.0	1003.0	490.0	152.0	396.0	141.0	458.0	76.0	4518.0	4043.0	19552.0
160	2015-06-10	2015	6	10	2187.0	2376.0	239.0	1862.0	1413.0	217.0	1004.0	489.0	152.0	394.0	141.0	459.0	77.0	4503.0	4055.0	19575.0
