	date	year	month	day	1	2	5	6	7	8	9	11	12	13	14	15	16	19	20	21
0	2015-01-01	2015	1	1	23.0	27.0	5.0	43.0	20.0	3.0	19.0	9.0	4.0	6.0	2.0	3.0	0.0	48.0	97.0	340.0
1	2015-01-02	2015	1	2	47.0	51.0	8.0	85.0	41.0	4.0	35.0	17.0	6.0	14.0	3.0	4.0	1.0	103.0	185.0	660.0
2	2015-01-03	2015	1	3	78.0	99.0	10.0	124.0	70.0	5.0	55.0	20.0	8.0	23.0	6.0	17.0	2.0	181.0	280.0	1016.0
3	2015-01-04	2015	1	4	107.0	136.0	13.0	158.0	86.0	10.0	73.0	26.0	10.0	32.0	8.0	30.0	2.0	228.0	371.0	1344.0
4	2015-01-05	2015	1	5	136.0	169.0	22.0	198.0	106.0	10.0	96.0	29.0	13.0	37.0	9.0	37.0	4.0	295.0	479.0	1680.0
5	2015-01-06	2015	1	6	167.0	199.0	27.0	232.0	134.0	10.0	116.0	36.0	16.0	41.0	12.0	44.0	6.0	364.0	569.0	2048.0
6	2015-01-07	2015	1	7	201.0	244.0	29.0	279.0	158.0	10.0	136.0	39.0	18.0	49.0	12.0	54.0	6.0	440.0	650.0	2383.0
7	2015-01-08	2015	1	8	242.0	280.0	34.0	318.0	183.0	10.0	155.0	44.0	22.0	56.0	14.0	62.0	7.0	508.0	743.0	2737.0
8	2015-01-09	2015	1	9	274.0	305.0	39.0	363.0	206.0	14.0	181.0	48.0	24.0	62.0	15.0	69.0	8.0	574.0	847.0	3047.0
9	2015-01-10	2015	1	10	304.0	338.0	42.0	403.0	225.0	17.0	199.0	53.0	26.0	65.0	17.0	76.0	9.0	641.0	949.0	3384.0
10	2015-01-11	2015	1	11	336.0	383.0	47.0	447.0	244.0	18.0	220.0	55.0	30.0	68.0	21.0	87.0	9.0	711.0	1063.0	3722.0
11	2015-01-12	2015	1	12	368.0	416.0	51.0	492.0	266.0	22.0	236.0	61.0	32.0	75.0	23.0	94.0	11.0	789.0	1153.0	4065.0
12	2015-01-13	2015	1	13	393.0	458.0	56.0	537.0	284.0	22.0	258.0	71.0	35.0	83.0	24.0	100.0	11.0	852.0	1241.0	4397.0
13	2015-01-14	2015	1	14	428.0	492.0	59.0	592.0	311.0	24.0	269.0	76.0	39.0	85.0	24.0	107.0	11.0	925.0	1308.0	4740.0
14	2015-01-15	2015	1	15	463.0	514.0	62.0	644.0	324.0	28.0	288.0	79.0	41.0	90.0	29.0	108.0	13.0	997.0	1396.0	5086.0
15	2015-01-16	2015	1	16	490.0	546.0	64.0	682.0	347.0	30.0	306.0	84.0	42.0	93.0	31.0	118.0	13.0	1072.0	1481.0	5404.0
16	2015-01-17	2015	1	17	523.0	586.0	70.0	722.0	375.0	32.0	328.0	87.0	43.0	99.0	36.0	121.0	13.0	1139.0	1574.0	5709.0
17	2015-01-18	2015	1	18	551.0	618.0	72.0	776.0	389.0	38.0	347.0	94.0	43.0	105.0	37.0	126.0	13.0	1220.0	1659.0	6041.0
18	2015-01-19	2015	1	19	587.0	657.0	76.0	813.0	410.0	42.0	369.0	103.0	46.0	110.0	37.0	137.0	13.0	1290.0	1749.0	6400.0
19	2015-01-20	2015	1	20	612.0	685.0	78.0	853.0	431.0	44.0	398.0	114.0	46.0	115.0	39.0	141.0	15.0	1358.0	1851.0	6760.0
20	2015-01-21	2015	1	21	652.0	728.0	85.0	894.0	456.0	45.0	423.0	117.0	48.0	119.0	42.0	150.0	16.0	1441.0	1944.0	7085.0
21	2015-01-22	2015	1	22	681.0	755.0	90.0	934.0	484.0	49.0	440.0	118.0	50.0	126.0	44.0	165.0	16.0	1518.0	2043.0	7390.0
22	2015-01-23	2015	1	23	710.0	792.0	93.0	966.0	501.0	50.0	460.0	121.0	52.0	129.0	47.0	171.0	17.0	1585.0	2132.0	7717.0
23	2015-01-24	2015	1	24	733.0	826.0	98.0	1010.0	515.0	53.0	481.0	125.0	57.0	136.0	47.0	185.0	18.0	1646.0	2230.0	8071.0
24	2015-01-25	2015	1	25	763.0	853.0	108.0	1045.0	538.0	55.0	500.0	134.0	61.0	138.0	49.0	192.0	20.0	1718.0	2311.0	8416.0
25	2015-01-26	2015	1	26	797.0	884.0	113.0	1091.0	559.0	57.0	516.0	139.0	64.0	143.0	53.0	198.0	22.0	1789.0	2390.0	8749.0
26	2015-01-27	2015	1	27	832.0	908.0	119.0	1124.0	581.0	59.0	531.0	145.0	67.0	152.0	56.0	205.0	23.0	1848.0	2470.0	9091.0
27	2015-01-28	2015	1	28	870.0	942.0	125.0	1160.0	596.0	64.0	560.0	147.0	70.0	160.0	59.0	211.0	24.0	1917.0	2546.0	9445.0
28	2015-01-29	2015	1	29	899.0	965.0	128.0	1196.0	610.0	68.0	576.0	152.0	72.0	164.0	62.0	220.0	26.0	2005.0	2629.0	9754.0
29	2015-01-30	2015	1	30	931.0	1005.0	131.0	1237.0	630.0	71.0	595.0	158.0	76.0	175.0	64.0	224.0	28.0	2072.0	2717.0	10095.0
30	2015-01-31	2015	1	31	948.0	1021.0	135.0	1249.0	642.0	71.0	607.0	166.0	78.0	180.0	68.0	227.0	28.0	2117.0	2764.0	10302.0
31	2015-02-01	2015	2	1	971.0	1060.0	139.0	1245.0	660.0	74.0	619.0	173.0	82.0	182.0	67.0	232.0	28.0	2173.0	2806.0	10487.0
32	2015-02-02	2015	2	2	993.0	1085.0	141.0	1262.0	675.0	77.0	633.0	182.0	85.0	186.0	72.0	235.0	28.0	2220.0	2839.0	10724.0
33	2015-02-03	2015	2	3	1013.0	1111.0	139.0	1277.0	691.0	79.0	637.0	186.0	88.0	187.0	74.0	243.0	29.0	2270.0	2892.0	10954.0
34	2015-02-04	2015	2	4	1039.0	1139.0	134.0	1290.0	714.0	79.0	642.0	192.0	91.0	193.0	78.0	245.0	27.0	2310.0	2902.0	11120.0
35	2015-02-05	2015	2	5	1058.0	1158.0	133.0	1308.0	722.0	80.0	645.0	202.0	94.0	197.0	78.0	248.0	28.0	2365.0	2932.0	11298.0
36	2015-02-06	2015	2	6	1082.0	1180.0	144.0	1308.0	736.0	82.0	646.0	209.0	96.0	201.0	79.0	256.0	29.0	2410.0	2975.0	11494.0
37	2015-02-07	2015	2	7	1109.0	1202.0	149.0	1319.0	752.0	83.0	653.0	210.0	99.0	206.0	82.0	261.0	30.0	2445.0	3017.0	11652.0
38	2015-02-08	2015	2	8	1137.0	1232.0	151.0	1332.0	764.0	84.0	664.0	219.0	100.0	210.0	82.0	271.0	29.0	2496.0	3053.0	11898.0
39	2015-02-09	2015	2	9	1150.0	1258.0	156.0	1347.0	782.0	85.0	669.0	227.0	100.0	214.0	83.0	274.0	30.0	2541.0	3075.0	12087.0
40	2015-02-10	2015	2	10	1180.0	1276.0	156.0	1365.0	791.0	86.0	680.0	231.0	98.0	221.0	85.0	276.0	30.0	2592.0	3109.0	12238.0
41	2015-02-11	2015	2	11	1211.0	1294.0	159.0	1363.0	806.0	86.0	685.0	238.0	98.0	230.0	90.0	280.0	30.0	2629.0	3151.0	12427.0
42	2015-02-12	2015	2	12	1233.0	1328.0	160.0	1368.0	821.0	86.0	689.0	246.0	100.0	228.0	91.0	291.0	30.0	2674.0	3189.0	12628.0
43	2015-02-13	2015	2	13	1249.0	1357.0	160.0	1376.0	831.0	86.0	696.0	253.0	103.0	238.0	93.0	294.0	30.0	2717.0	3236.0	12833.0
44	2015-02-14	2015	2	14	1276.0	1380.0	164.0	1377.0	846.0	84.0	712.0	262.0	105.0	240.0	93.0	300.0	31.0	2746.0	3267.0	13038.0
45	2015-02-15	2015	2	15	1295.0	1417.0	169.0	1385.0	861.0	84.0	718.0	265.0	108.0	249.0	95.0	297.0	36.0	2779.0	3290.0	13211.0
46	2015-02-16	2015	2	16	1334.0	1439.0	166.0	1397.0	873.0	87.0	720.0	271.0	111.0	255.0	95.0	308.0	39.0	2821.0	3323.0	13414.0
47	2015-02-17	2015	2	17	1348.0	1473.0	169.0	1390.0	887.0	88.0	738.0	276.0	114.0	260.0	98.0	315.0	40.0	2865.0	3378.0	13591.0
48	2015-02-18	2015	2	18	1370.0	1489.0	174.0	1414.0	898.0	91.0	747.0	282.0	116.0	264.0	99.0	318.0	41.0	2914.0	3408.0	13762.0
49	2015-02-19	2015	2	19	1391.0	1513.0	176.0	1419.0	911.0	95.0	746.0	289.0	119.0	269.0	100.0	326.0	42.0	2973.0	3452.0	13941.0
50	2015-02-20	2015	2	20	1412.0	1534.0	176.0	1439.0	932.0	96.0	742.0	295.0	121.0	275.0	100.0	330.0	42.0	3022.0	3492.0	14122.0
51	2015-02-21	2015	2	21	1428.0	1558.0	176.0	1445.0	947.0	96.0	764.0	300.0	123.0	280.0	101.0	329.0	45.0	3074.0	3509.0	14300.0
52	2015-02-22	2015	2	22	1454.0	1588.0	179.0	1460.0	960.0	96.0	767.0	307.0	126.0	282.0	102.0	332.0	45.0	3114.0	3544.0	14489.0
53	2015-02-23	2015	2	23	1483.0	1610.0	180.0	1463.0	982.0	97.0	769.0	316.0	130.0	288.0	104.0	334.0	45.0	3158.0	3587.0	14695.0
54	2015-02-24	2015	2	24	1505.0	1630.0	176.0	1486.0	1010.0	98.0	778.0	319.0	130.0	295.0	106.0	340.0	46.0	3216.0	3630.0	14878.0
55	2015-02-25	2015	2	25	1525.0	1660.0	182.0	1499.0	1021.0	100.0	785.0	325.0	131.0	301.0	107.0	342.0	50.0	3253.0	3650.0	15076.0
56	2015-02-26	2015	2	26	1548.0	1692.0	185.0	1510.0	1040.0	103.0	791.0	328.0	133.0	307.0	110.0	348.0	52.0	3291.0	3711.0	15276.0
57	2015-02-27	2015	2	27	1574.0	1715.0	186.0	1540.0	1066.0	102.0	791.0	328.0	134.0	313.0	109.0	355.0	58.0	3325.0	3745.0	15449.0
58	2015-02-28	2015	2	28	1596.0	1755.0	188.0	1555.0	1083.0	104.0	792.0	332.0	135.0	316.0	111.0	357.0	59.0	3373.0	3798.0	15640.0
59	2015-03-01	2015	3	1	1613.0	1775.0	194.0	1553.0	1100.0	104.0	805.0	339.0	137.0	316.0	115.0	362.0	60.0	3412.0	3833.0	15837.0
60	2015-03-02	2015	3	2	1629.0	1799.0	197.0	1562.0	1109.0	105.0	799.0	343.0	142.0	322.0	115.0	371.0	60.0	3452.0	3843.0	15994.0
61	2015-03-03	2015	3	3	1654.0	1806.0	204.0	1579.0	1132.0	107.0	808.0	347.0	143.0	325.0	116.0	374.0	60.0	3499.0	3875.0	16144.0
