state	year	month	SE	Verordnungen	VerordnungenSE
1	2015	1	30	332	9960
1	2015	1	90	623	56070
1	2015	2	30	377	11310
1	2015	2	90	571	51390
1	2015	3	30	377	11310
1	2015	3	90	650	58500
1	2015	4	30	353	10590
1	2015	4	90	641	57690
1	2015	5	30	350	10500
1	2015	5	90	605	54450
1	2015	6	30	354	10620
1	2015	6	90	622	55980
1	2015	7	30	380	11400
1	2015	7	90	760	68400
1	2015	8	30	311	9330
1	2015	8	90	593	53370
1	2015	9	30	325	9750
1	2015	9	90	611	54990
1	2015	10	30	343	10290
1	2015	10	90	730	65700
1	2015	11	30	322	9660
1	2015	11	90	730	65700
1	2015	12	30	322	9660
1	2015	12	90	623	56070
1	2016	1	30	252	7560
1	2016	1	90	632	56880
1	2016	2	30	277	8310
1	2016	2	90	682	61380
1	2016	3	30	304	9120
1	2016	3	90	645	58050
1	2016	4	30	254	7620
1	2016	4	90	729	65610
1	2016	5	30	271	8130
1	2016	5	90	605	54450
1	2016	6	30	241	7230
1	2016	6	90	541	48690
1	2016	7	30	230	6900
1	2016	7	90	552	49680
1	2016	8	30	206	6180
1	2016	8	90	475	42750
1	2016	9	30	208	6240
1	2016	9	90	425	38250
1	2016	10	30	180	5400
1	2016	10	90	441	39690
1	2016	11	30	206	6180
1	2016	11	90	442	39780
1	2016	12	30	209	6270
1	2016	12	90	441	39690
1	2017	1	30	173	5190
1	2017	1	90	387	34830
1	2017	2	30	172	5160
1	2017	2	90	366	32940
1	2017	3	30	203	6090
1	2017	3	90	412	37080
1	2017	4	30	156	4680
1	2017	4	90	408	36720
1	2017	5	30	182	5460
1	2017	5	90	402	36180
1	2017	6	30	169	5070
1	2017	6	90	363	32670
1	2017	7	30	183	5490
1	2017	7	90	416	37440
1	2017	8	30	163	4890
1	2017	8	90	344	30960
1	2017	9	28	3	84
1	2017	9	30	140	4200
1	2017	9	90	342	30780
1	2017	10	28	1	28
1	2017	10	30	137	4110
1	2017	10	90	400	36000
1	2017	11	30	145	4350
1	2017	11	60	1	60
1	2017	11	90	359	32310
1	2017	12	28	3	84
1	2017	12	30	140	4200
1	2017	12	90	345	31050
1	2018	1	28	1	28
1	2018	1	30	146	4380
1	2018	1	90	378	34020
1	2018	2	28	1	28
1	2018	2	30	146	4380
1	2018	2	90	361	32490
1	2018	3	28	3	84
1	2018	3	30	187	5610
1	2018	3	60	1	60
1	2018	3	90	433	38970
1	2018	4	28	3	84
1	2018	4	30	191	5730
1	2018	4	90	425	38250
1	2018	5	28	2	56
1	2018	5	30	193	5790
1	2018	5	90	402	36180
1	2018	6	30	185	5550
1	2018	6	90	401	36090
1	2018	7	10	1	10
1	2018	7	30	180	5400
1	2018	7	90	470	42300
1	2018	8	28	1	28
1	2018	8	30	156	4680
1	2018	8	90	427	38430
1	2018	9	30	144	4320
1	2018	9	90	367	33030
1	2018	10	30	169	5070
1	2018	10	90	467	42030
1	2018	11	28	1	28
1	2018	11	30	141	4230
1	2018	11	35	1	35
1	2018	11	90	425	38250
1	2018	12	30	134	4020
1	2018	12	90	360	32400
1	2019	1	10	1	10
1	2019	1	30	133	3990
1	2019	1	90	372	33480
1	2019	2	30	113	3390
1	2019	2	90	322	28980
1	2019	3	30	133	3990
1	2019	3	90	362	32580
1	2019	4	30	126	3780
1	2019	4	90	348	31320
1	2019	5	30	112	3360
1	2019	5	90	408	36720
1	2019	6	28	1	28
1	2019	6	30	114	3420
1	2019	6	90	300	27000
1	2019	7	30	130	3900
1	2019	7	90	414	37260
1	2019	8	30	124	3720
1	2019	8	35	1	35
1	2019	8	90	339	30510
1	2019	9	7	1	7
1	2019	9	30	156	4680
1	2019	9	35	6	210
1	2019	9	84	8	672
1	2019	9	90	449	40410
1	2019	10	7	3	21
1	2019	10	30	170	5100
1	2019	10	35	12	420
1	2019	10	84	6	504
1	2019	10	90	503	45270
1	2019	11	7	1	7
1	2019	11	30	161	4830
1	2019	11	35	2	70
1	2019	11	84	4	336
1	2019	11	90	491	44190
1	2019	12	30	139	4170
1	2019	12	35	7	245
1	2019	12	84	3	252
1	2019	12	90	485	43650
1	2020	1	30	139	4170
1	2020	1	35	1	35
1	2020	1	84	9	756
1	2020	1	90	484	43560
1	2020	2	30	130	3900
1	2020	2	35	2	70
1	2020	2	84	4	336
1	2020	2	90	469	42210
1	2020	3	30	154	4620
1	2020	3	35	4	140
1	2020	3	84	12	1008
1	2020	3	90	625	56250
1	2020	4	30	87	2610
1	2020	4	84	4	336
1	2020	4	90	451	40590
1	2020	5	30	95	2850
1	2020	5	35	2	70
1	2020	5	84	5	420
1	2020	5	90	464	41760
1	2020	6	28	1	28
1	2020	6	30	121	3630
1	2020	6	35	5	175
1	2020	6	84	8	672
1	2020	6	90	508	45720
1	2020	7	30	132	3960
1	2020	7	35	7	245
1	2020	7	84	12	1008
1	2020	7	90	566	50940
1	2020	8	30	145	4350
1	2020	8	35	3	105
1	2020	8	84	8	672
1	2020	8	90	501	45090
1	2020	9	30	137	4110
1	2020	9	35	5	175
1	2020	9	84	18	1512
1	2020	9	90	523	47070
1	2020	10	30	141	4230
1	2020	10	35	4	140
1	2020	10	84	16	1344
1	2020	10	90	654	58860
1	2020	11	30	145	4350
1	2020	11	35	9	315
1	2020	11	84	16	1344
1	2020	11	90	631	56790
1	2020	12	30	123	3690
1	2020	12	35	9	315
1	2020	12	60	2	120
1	2020	12	84	23	1932
1	2020	12	90	633	56970
1	2021	1	30	104	3120
1	2021	1	35	2	70
1	2021	1	60	1	60
1	2021	1	84	5	420
1	2021	1	90	588	52920
1	2021	2	30	114	3420
1	2021	2	35	1	35
1	2021	2	84	7	588
1	2021	2	90	647	58230
1	2021	3	30	136	4080
1	2021	3	60	1	60
1	2021	3	84	14	1176
1	2021	3	90	648	58320
1	2021	4	30	109	3270
1	2021	4	35	1	35
1	2021	4	84	5	420
1	2021	4	90	649	58410
1	2021	5	7	1	7
1	2021	5	30	113	3390
1	2021	5	35	5	175
1	2021	5	84	14	1176
1	2021	5	90	630	56700
1	2021	6	30	131	3930
1	2021	6	35	5	175
1	2021	6	84	11	924
1	2021	6	90	664	59760
1	2021	7	30	156	4680
1	2021	7	60	1	60
1	2021	7	84	6	504
1	2021	7	90	739	66510
1	2021	8	30	138	4140
1	2021	8	35	1	35
1	2021	8	84	5	420
1	2021	8	90	622	55980
1	2021	9	30	138	4140
1	2021	9	35	2	70
1	2021	9	84	5	420
1	2021	9	90	694	62460
1	2021	10	30	165	4950
1	2021	10	35	5	175
1	2021	10	84	8	672
1	2021	10	90	705	63450
1	2021	11	30	168	5040
1	2021	11	35	2	70
1	2021	11	84	10	840
1	2021	11	90	692	62280
1	2021	12	30	148	4440
1	2021	12	35	7	245
1	2021	12	84	6	504
1	2021	12	90	711	63990
2	2015	1	30	246	7380
2	2015	1	90	782	70380
2	2015	2	30	253	7590
2	2015	2	90	706	63540
2	2015	3	30	232	6960
2	2015	3	90	692	62280
2	2015	4	30	229	6870
2	2015	4	90	815	73350
2	2015	5	30	212	6360
2	2015	5	90	660	59400
2	2015	6	30	271	8130
2	2015	6	90	699	62910
2	2015	7	30	243	7290
2	2015	7	90	853	76770
2	2015	8	30	201	6030
2	2015	8	90	652	58680
2	2015	9	30	224	6720
2	2015	9	90	698	62820
2	2015	10	30	262	7860
2	2015	10	90	815	73350
2	2015	11	30	226	6780
2	2015	11	90	651	58590
2	2015	12	30	280	8400
2	2015	12	90	733	65970
2	2016	1	30	208	6240
2	2016	1	90	712	64080
2	2016	2	30	214	6420
2	2016	2	90	651	58590
2	2016	3	30	203	6090
2	2016	3	90	666	59940
2	2016	4	30	213	6390
2	2016	4	90	755	67950
2	2016	5	30	168	5040
2	2016	5	90	576	51840
2	2016	6	30	193	5790
2	2016	6	90	494	44460
2	2016	7	30	146	4380
2	2016	7	90	532	47880
2	2016	8	30	148	4440
2	2016	8	90	507	45630
2	2016	9	30	159	4770
2	2016	9	90	456	41040
2	2016	10	30	139	4170
2	2016	10	90	466	41940
2	2016	11	30	136	4080
2	2016	11	90	459	41310
2	2016	12	30	137	4110
2	2016	12	90	438	39420
2	2017	1	30	104	3120
2	2017	1	90	389	35010
2	2017	2	30	93	2790
2	2017	2	90	405	36450
2	2017	3	30	121	3630
2	2017	3	90	418	37620
2	2017	4	30	95	2850
2	2017	4	90	395	35550
2	2017	5	30	111	3330
2	2017	5	90	413	37170
2	2017	6	30	108	3240
2	2017	6	90	359	32310
2	2017	7	30	107	3210
2	2017	7	90	384	34560
2	2017	8	30	97	2910
2	2017	8	90	392	35280
2	2017	9	28	2	56
2	2017	9	30	87	2610
2	2017	9	90	327	29430
2	2017	10	28	1	28
2	2017	10	30	95	2850
2	2017	10	84	1	84
2	2017	10	90	416	37440
2	2017	11	30	95	2850
2	2017	11	90	366	32940
2	2017	12	28	3	84
2	2017	12	30	116	3480
2	2017	12	90	347	31230
2	2018	1	28	3	84
2	2018	1	30	78	2340
2	2018	1	90	342	30780
2	2018	2	28	1	28
2	2018	2	30	83	2490
2	2018	2	90	319	28710
2	2018	3	28	2	56
2	2018	3	30	84	2520
2	2018	3	90	299	26910
2	2018	4	28	1	28
2	2018	4	30	84	2520
2	2018	4	90	373	33570
2	2018	5	30	74	2220
2	2018	5	90	303	27270
2	2018	6	28	1	28
2	2018	6	30	100	3000
2	2018	6	90	297	26730
2	2018	7	28	2	56
2	2018	7	30	78	2340
2	2018	7	90	386	34740
2	2018	8	28	1	28
2	2018	8	30	92	2760
2	2018	8	90	278	25020
2	2018	9	28	1	28
2	2018	9	30	72	2160
2	2018	9	90	287	25830
2	2018	10	30	81	2430
2	2018	10	90	374	33660
2	2018	11	30	68	2040
2	2018	11	60	1	60
2	2018	11	90	305	27450
2	2018	12	30	64	1920
2	2018	12	90	273	24570
2	2019	1	30	73	2190
2	2019	1	90	361	32490
2	2019	2	30	50	1500
2	2019	2	90	305	27450
2	2019	3	30	67	2010
2	2019	3	35	2	70
2	2019	3	90	319	28710
2	2019	4	30	62	1860
2	2019	4	90	320	28800
2	2019	5	30	70	2100
2	2019	5	90	331	29790
2	2019	6	30	55	1650
2	2019	6	35	1	35
2	2019	6	90	276	24840
2	2019	7	30	78	2340
2	2019	7	35	4	140
2	2019	7	90	388	34920
2	2019	8	30	69	2070
2	2019	8	35	3	105
2	2019	8	90	275	24750
2	2019	9	30	204	6120
2	2019	9	35	87	3045
2	2019	9	84	25	2100
2	2019	9	90	564	50760
2	2019	10	30	222	6660
2	2019	10	35	92	3220
2	2019	10	84	20	1680
2	2019	10	90	754	67860
2	2019	11	30	167	5010
2	2019	11	35	53	1855
2	2019	11	84	19	1596
2	2019	11	90	575	51750
2	2019	12	7	1	7
2	2019	12	30	191	5730
2	2019	12	35	90	3150
2	2019	12	84	1	84
2	2019	12	90	668	60120
2	2020	1	30	166	4980
2	2020	1	35	97	3395
2	2020	1	84	6	504
2	2020	1	90	693	62370
2	2020	2	30	150	4500
2	2020	2	35	59	2065
2	2020	2	84	3	252
2	2020	2	90	612	55080
2	2020	3	30	112	3360
2	2020	3	35	69	2415
2	2020	3	84	8	672
2	2020	3	90	644	57960
2	2020	4	30	95	2850
2	2020	4	35	68	2380
2	2020	4	84	11	924
2	2020	4	90	544	48960
2	2020	5	30	109	3270
2	2020	5	35	54	1890
2	2020	5	84	15	1260
2	2020	5	90	670	60300
2	2020	6	30	105	3150
2	2020	6	35	82	2870
2	2020	6	84	25	2100
2	2020	6	90	596	53640
2	2020	7	30	136	4080
2	2020	7	35	78	2730
2	2020	7	84	31	2604
2	2020	7	90	738	66420
2	2020	8	30	110	3300
2	2020	8	35	71	2485
2	2020	8	60	1	60
2	2020	8	84	34	2856
2	2020	8	90	709	63810
2	2020	9	30	126	3780
2	2020	9	35	55	1925
2	2020	9	84	35	2940
2	2020	9	90	711	63990
2	2020	10	30	140	4200
2	2020	10	35	50	1750
2	2020	10	84	37	3108
2	2020	10	90	840	75600
2	2020	11	30	91	2730
2	2020	11	35	64	2240
2	2020	11	84	45	3780
2	2020	11	90	750	67500
2	2020	12	30	116	3480
2	2020	12	35	79	2765
2	2020	12	84	7	588
2	2020	12	90	730	65700
2	2021	1	30	86	2580
2	2021	1	35	72	2520
2	2021	1	60	1	60
2	2021	1	84	13	1092
2	2021	1	90	768	69120
2	2021	2	30	114	3420
2	2021	2	35	58	2030
2	2021	2	84	17	1428
2	2021	2	90	745	67050
2	2021	3	30	124	3720
2	2021	3	35	82	2870
2	2021	3	84	5	420
2	2021	3	90	824	74160
2	2021	4	30	122	3660
2	2021	4	35	45	1575
2	2021	4	84	14	1176
2	2021	4	90	834	75060
2	2021	5	30	107	3210
2	2021	5	35	86	3010
2	2021	5	84	9	756
2	2021	5	90	807	72630
2	2021	6	30	137	4110
2	2021	6	35	38	1330
2	2021	6	84	15	1260
2	2021	6	90	837	75330
2	2021	7	30	191	5730
2	2021	7	35	1	35
2	2021	7	84	9	756
2	2021	7	90	996	89640
2	2021	8	30	161	4830
2	2021	8	35	8	280
2	2021	8	84	3	252
2	2021	8	90	911	81990
2	2021	9	30	167	5010
2	2021	9	35	18	630
2	2021	9	84	9	756
2	2021	9	90	898	80820
2	2021	10	30	169	5070
2	2021	10	35	6	210
2	2021	10	84	10	840
2	2021	10	90	1009	90810
2	2021	11	30	148	4440
2	2021	11	35	16	560
2	2021	11	84	13	1092
2	2021	11	90	968	87120
2	2021	12	30	123	3690
2	2021	12	35	22	770
2	2021	12	84	9	756
2	2021	12	90	975	87750
3	2015	1	30	1497	44910
3	2015	1	90	1293	116370
3	2015	2	30	1363	40890
3	2015	2	90	992	89280
3	2015	3	30	1463	43890
3	2015	3	90	962	86580
3	2015	4	30	1350	40500
3	2015	4	90	1001	90090
3	2015	5	30	1273	38190
3	2015	5	90	839	75510
3	2015	6	30	1310	39300
3	2015	6	90	854	76860
3	2015	7	30	1280	38400
3	2015	7	90	1025	92250
3	2015	8	30	1192	35760
3	2015	8	90	811	72990
3	2015	9	30	1261	37830
3	2015	9	90	811	72990
3	2015	10	30	1239	37170
3	2015	10	90	1046	94140
3	2015	11	30	1198	35940
3	2015	11	90	875	78750
3	2015	12	30	1141	34230
3	2015	12	90	786	70740
