	state	10%	10%_CI_lb	10%_CI_ub	20%	20%_CI_lb	20%_CI_ub	25%	25%_CI_lb	25%_CI_ub	30%	30%_CI_lb	30%_CI_ub	40%	40%_CI_lb	40%_CI_ub	50%	50%_CI_lb	50%_CI_ub	60%	60%_CI_lb	60%_CI_ub	70%	70%_CI_lb	70%_CI_ub	75%	75%_CI_lb	75%_CI_ub	80%	80%_CI_lb	80%_CI_ub	90%	90%_CI_lb	90%_CI_ub	REL_COV_20191231	REL_COV_20191231_CI_lb	REL_COV_20191231_CI_ub	ABS_COV_20191231	ABS_COV_20191231_CI_lb	ABS_COV_20191231_CI_ub	REL_COV_20200630	REL_COV_20200630_CI_lb	REL_COV_20200630_CI_ub	ABS_COV_20200630	ABS_COV_20200630_CI_lb	ABS_COV_20200630_CI_ub	REL_COV_20201231	REL_COV_20201231_CI_lb	REL_COV_20201231_CI_ub	ABS_COV_20201231	ABS_COV_20201231_CI_lb	ABS_COV_20201231_CI_ub	REL_COV_20210630	REL_COV_20210630_CI_lb	REL_COV_20210630_CI_ub	ABS_COV_20210630	ABS_COV_20210630_CI_lb	ABS_COV_20210630_CI_ub	REL_COV_20211231	REL_COV_20211231_CI_lb	REL_COV_20211231_CI_ub	ABS_COV_20211231	ABS_COV_20211231_CI_lb	ABS_COV_20211231_CI_ub	REL_COV_20221231	REL_COV_20221231_CI_lb	REL_COV_20221231_CI_ub	ABS_COV_20221231	ABS_COV_20221231_CI_lb	ABS_COV_20221231_CI_ub	REL_COV_20231231	REL_COV_20231231_CI_lb	REL_COV_20231231_CI_ub	ABS_COV_20231231	ABS_COV_20231231_CI_lb	ABS_COV_20231231_CI_ub	REL_COV_20241231	REL_COV_20241231_CI_lb	REL_COV_20241231_CI_ub	ABS_COV_20241231	ABS_COV_20241231_CI_lb	ABS_COV_20241231_CI_ub	REL_COV_20251231	REL_COV_20251231_CI_lb	REL_COV_20251231_CI_ub	ABS_COV_20251231	ABS_COV_20251231_CI_lb	ABS_COV_20251231_CI_ub	REL_COV_20261231	REL_COV_20261231_CI_lb	REL_COV_20261231_CI_ub	ABS_COV_20261231	ABS_COV_20261231_CI_lb	ABS_COV_20261231_CI_ub	REL_COV_20271231	REL_COV_20271231_CI_lb	REL_COV_20271231_CI_ub	ABS_COV_20271231	ABS_COV_20271231_CI_lb	ABS_COV_20271231_CI_ub	REL_COV_20281231	REL_COV_20281231_CI_lb	REL_COV_20281231_CI_ub	ABS_COV_20281231	ABS_COV_20281231_CI_lb	ABS_COV_20281231_CI_ub	REL_COV_20291231	REL_COV_20291231_CI_lb	REL_COV_20291231_CI_ub	ABS_COV_20291231	ABS_COV_20291231_CI_lb	ABS_COV_20291231_CI_ub	REL_COV_20301231	REL_COV_20301231_CI_lb	REL_COV_20301231_CI_ub	ABS_COV_20301231	ABS_COV_20301231_CI_lb	ABS_COV_20301231_CI_ub
0	Baden-Württemberg	2020-09-17	2020-08-24	2020-10-21	2022-03-04	2021-10-25	2022-11-02	2023-03-06	2022-06-18	2024-06-18	2024-03-31	2023-02-28	2026-05-12	2026-08-29	2024-09-18	2030-08-21	2029-07-05	2026-07-22	2035-09-11	2032-12-29	2028-10-22	2041-11-18	2037-06-19	2031-09-17	2049-11-19	2040-04-03	2033-07-19	2050-01-01	2043-09-05	2035-10-20	2050-01-01	2050-01-01	2042-10-18	2050-01-01	0.06333967367171414	0.04613957630892297	0.07410487320049591	480.11472643159317	349.73798842163615	561.7149388597591	0.06091235608708296	0.045569311375758245	0.07688976300278832	461.71565914008886	345.4153802282475	582.8244035611355	0.13983517811800833	0.12141131146075003	0.15245787946105777	1059.9506501345031	920.2977408724852	1155.6307263148178	0.16563572830736667	0.14659520609201093	0.180163891351979	1255.5188205698394	1111.1916621774428	1365.6422964480007	0.1910912298513523	0.17112849105840042	0.21492814080234776	1448.4715222732505	1297.153962222675	1629.155307281796	0.2414741521166563	0.2055181174107607	0.288708928839773	1830.3740730442546	1557.827329973566	2188.4136806054794	0.2888673748035852	0.23685349816860593	0.35585189640793735	2189.614701011176	1795.3495161180329	2697.3573747721653	0.33286368324998955	0.26479423529969726	0.4168129889705677	2523.106719034921	2007.140303571705	3159.442456396903	0.37365246389391316	0.29081753182458203	0.47182890924898246	2832.2856763158616	2204.3968912303317	3576.463132107287	0.4129115155397504	0.3159189792845685	0.5216105382698173	3129.869287791308	2394.6658629770295	3953.807880085215	0.4490403386699867	0.3401308549456803	0.5666612036128627	3403.7257671184993	2578.1918804882566	4295.291923385499	0.48350768073022493	0.3635473410895215	0.6075579686169793	3664.988219935105	2755.6888454585733	4605.289402116703	0.5155302188407639	0.3860709705821676	0.6445164854697292	3907.71905881299	2926.4179570128304	4885.434959860547	0.5455553189656769	0.4077963785588206	0.6780487329165992	4135.309317759831	3091.0965494758602	5139.609395507821
1	Bayern	2019-10-26	2019-10-23	2019-10-30	2020-10-10	2020-09-18	2020-10-30	2021-07-05	2021-06-08	2021-08-04	2021-12-14	2021-11-08	2022-02-04	2022-12-14	2022-09-14	2023-05-19	2024-02-22	2023-09-11	2024-12-01	2025-08-08	2024-11-27	2026-10-21	2027-07-02	2026-06-23	2029-03-25	2028-09-12	2027-06-20	2030-10-05	2030-02-28	2028-09-04	2032-08-20	2034-09-16	2032-06-16	2038-06-21	0.16080305906258155	0.15195498995492016	0.1704833901428546	1727.6680665683762	1632.6044120756621	1831.6735436948297	0.15358711894881202	0.1383788921847366	0.1652072351068745	1650.1400059860364	1486.7428176328099	1774.9865339882595	0.2191003218515771	0.20921771216252052	0.2307486850186023	2354.0138579733443	2247.8350994741204	2479.163871839863	0.24865087025733568	0.23974072765768986	0.25681482886692886	2671.5049500448144	2575.7743779542197	2759.2185213462835	0.30476030947137034	0.2911618554182806	0.3187082486798208	3274.3447649604027	3128.242974614007	3424.2014238159945	0.4044246814147413	0.37240530221238444	0.4320256737246325	4345.138777119981	4001.1225669698583	4641.683838497452	0.4888270192550669	0.44252220411356	0.5274149429376597	5251.957494876438	4754.458560996089	5666.5461469222155	0.5617790567213885	0.504943072781043	0.6068663614804242	6035.754185414598	5425.108373959526	6520.172187745678	0.6235162493454008	0.5601796055001655	0.6726650083672407	6699.058582966986	6018.569681493778	7227.112849897635	0.676440338757064	0.6091948460526142	0.7275058983493143	7267.674999605895	6545.189425989287	7816.323371865034	0.7219700318963774	0.6528579968329069	0.7733290253500976	7756.846022694679	7014.3063179727515	8308.647048361448	0.7613103481452054	0.6917801006166625	0.811554525651996	8179.518380472086	7432.485401025422	8719.341823605046	0.7950229259096737	0.7263186202494432	0.8431641121177196	8541.726315973534	7803.567255960017	9058.95522059278	0.8239282569460783	0.75702452040739	0.8693745840251285	8852.285192628666	8133.471447256998	9340.56053076598
2	Berlin-Brandenburg	2019-10-20	2019-10-17	2019-10-22	2020-07-28	2020-02-25	2020-08-01	2020-09-09	2020-09-02	2020-09-15	2020-10-26	2020-10-19	2020-11-03	2021-07-14	2021-06-24	2021-07-31	2022-04-04	2022-02-20	2022-05-24	2023-02-16	2022-12-03	2023-05-31	2024-04-04	2023-12-01	2024-09-20	2024-12-20	2024-07-18	2025-07-22	2025-11-06	2025-04-28	2026-07-30	2028-07-24	2027-09-22	2029-09-24	0.18522362012408816	0.17894319155356697	0.19232711316322362	3347.1760392623974	3233.6824145645087	3475.543261972614	0.16913779067154683	0.16334752579333978	0.18029903464782104	3056.4890152255225	2951.8531386114432	3258.1838551207743	0.33850871520879194	0.3300716836978395	0.3457307960055986	6117.19099253808	5964.725396103658	6247.701214617172	0.3943739154382047	0.3869523890787161	0.40271875754669445	7126.731025883797	6992.616623041478	7277.530667626315	0.46633417023565493	0.45470771072666094	0.47986072054246776	8427.12479032852	8217.02304054149	8671.563080922935	0.5866531622806509	0.5621363587557532	0.6089189533943917	10601.409295573643	10158.366139075215	11003.774406790053	0.6794857477888538	0.6485331929849546	0.7072312520806567	12278.986948292379	11719.643330431114	12780.375956349548	0.7519734002495607	0.7178783084869366	0.7805801907828536	13588.911315909812	12972.77891266743	14105.864627636947	0.80759054102998	0.7732041147648288	0.8354541968318421	14593.968666952767	13972.57155791522	15097.492790948218	0.8510195722212041	0.8177748227256867	0.876808370651185	15378.774689609378	14778.008821475883	15844.804066037565	0.8846517732987458	0.8537724335246405	0.9076157022611006	15986.542195281634	15428.521646223779	16401.523355560348	0.9104937803182331	0.8826931851912377	0.9306353018583953	16453.53310413079	15951.148549590856	16817.51053988306	0.930425723858933	0.9057061003113065	0.9480754835008226	16813.723255854777	16367.014938725619	17132.672062343365	0.9461627911630531	0.9241336372750336	0.9612195730465638	17098.107799107533	16700.018959197132	17370.198904524455
3	Bremen	2020-03-05	2019-11-16	2021-09-30	2022-02-28	2020-11-28	2050-01-01	2023-02-16	2021-11-19	2050-01-01	2024-04-14	2022-06-21	2050-01-01	2026-12-19	2023-07-20	2050-01-01	2029-12-06	2024-10-04	2050-01-01	2033-08-25	2026-04-08	2050-01-01	2038-04-13	2028-04-18	2050-01-01	2041-03-27	2029-08-01	2050-01-01	2044-12-07	2031-03-04	2050-01-01	2050-01-01	2036-02-18	2050-01-01	0.07742574618461173	0.03429798509424319	0.12064799619962595	64.72792381033541	28.673115538787307	100.8617248228873	0.07117220578932848	0.013729122487177933	0.13561244860285013	59.499964039878606	11.477546399280753	113.3720070319827	0.15349407576174426	0.08344872334782809	0.2029354918899206	128.3210473368182	69.76313271878428	169.65407121997362	0.16595333521475691	0.09575911942692189	0.22486391547549983	138.73698823953677	80.0546238409067	187.98623333751786	0.19195196964248196	0.09922516610118508	0.25827177513354577	160.4718466211149	82.95223886059073	215.91520401164425	0.24430971426744233	0.08231785504412571	0.3480445244382145	204.24292112758178	68.81772681688909	290.9652224303473	0.2892414154088543	0.048998244043676774	0.43930129600039275	241.8058232818022	40.962532020513784	367.2558834563283	0.32839519689058866	0.01434141296007722	0.5180126040766905	274.53838460053214	11.989421234624556	433.05853700811326	0.364919496164284	0.0	0.5845152869335497	305.07269879334143	0.0	488.65477987644755	0.4013004306016575	0.0	0.6397450649137587	335.48715998298565	0.0	534.8268742679023	0.4378243486188724	0.0	0.6871426698964263	366.02115544537736	0.0	574.4512720334124	0.47218924242270227	0.0	0.7285271544465456	394.7502066653791	0.0	609.0487011173121	0.5020277826676973	0.0	0.7643675256254662	419.695226310195	0.0	639.0112514228897	0.5298879590863005	0.0	0.7951745755033596	442.9863337961472	0.0	664.7659451208086
4	Hamburg	2019-10-06	2019-10-02	2019-10-10	2019-11-13	2019-11-06	2019-11-22	2019-12-27	2019-11-25	2020-08-18	2020-10-11	2020-09-06	2020-12-05	2021-07-24	2021-06-10	2021-09-07	2022-04-12	2022-01-17	2022-09-01	2023-02-22	2022-09-23	2023-12-04	2024-04-12	2023-08-08	2025-06-23	2025-01-01	2024-02-27	2026-06-20	2025-11-15	2024-11-02	2027-09-05	2028-08-03	2026-12-12	2031-06-12	0.25098174921392297	0.23147547929179638	0.26889526201073777	1011.7074310813235	933.0776570252312	1083.916801165284	0.24423121044435436	0.21538650202944504	0.2690343373473661	984.4960093011924	868.222989680693	1084.4774138472328	0.3288780607081867	0.307310468039681	0.3543861323918374	1325.7074627147006	1238.768496667954	1428.5304996714967	0.39012740544901303	0.3720927236137381	0.409052617850347	1572.6035713649715	1499.9057688869782	1648.8911025547488	0.46361198016818533	0.4356299884015864	0.4926179809659167	1868.819892057955	1756.0244832467947	1985.7430812736102	0.5846790690500709	0.528618209950485	0.6344261525902977	2356.841327340836	2130.860004310405	2557.37182109149	0.6780103487304738	0.6056061569184671	0.7367991624088149	2733.05971573254	2441.198418538341	2970.037423669933	0.749915416272422	0.672441063889138	0.8103470291997986	3022.909042994133	2710.6099285371156	3266.5088747043883	0.8063609014112646	0.7276013615557485	0.8635258211451327	3250.4407935888075	2932.9610884312224	3480.8725850360297	0.8500771637957503	0.7733657149510016	0.901773640374828	3426.6610472606694	3117.4371969674876	3635.0495443509317	0.8839109714713197	0.8115875388085091	0.9291125382826088	3563.0451260008895	3271.5093689371	3745.252641817196	0.9098190062777501	0.8435587809374171	0.9491565994136231	3667.480414305611	3400.3854459587283	3826.0502522363145	0.9298105326914846	0.8699954138455032	0.9636043523146207	3748.0662572793744	3506.9515132112233	3884.2891441802362	0.9456226208780193	0.8915970919870062	0.9737666792242986	3811.8047847592957	3594.027877799622	3925.2534839531477
5	Hessen	2019-10-15	2019-10-11	2019-10-20	2019-12-16	2019-11-25	2020-02-07	2020-10-07	2020-09-20	2020-10-26	2021-06-05	2021-04-18	2021-07-20	2022-11-07	2022-06-23	2024-01-04	2024-07-22	2023-09-22	2027-02-14	2026-08-22	2025-04-12	2030-12-07	2029-04-24	2027-04-11	2035-11-09	2031-01-01	2028-07-16	2038-12-24	2033-01-26	2030-02-01	2042-10-21	2039-07-02	2034-11-22	2050-01-01	0.20309088344162854	0.1906939588201861	0.21510184681166605	1205.9536658763902	1132.3407274742651	1277.274766367673	0.19215560477792504	0.17601021363383534	0.20765048493524155	1141.019981171319	1045.1486485577143	1233.0285795454643	0.28121794102415526	0.2679297633362472	0.2936230520238304	1669.8721338014338	1590.9669346906358	1743.5336829175048	0.30532161300660055	0.2958309189646208	0.3133292879633267	1812.999738033194	1756.6439968119184	1860.549311926234	0.34174002481989413	0.32488418128702495	0.358473252070156	2029.2522673805313	1929.1622684823542	2128.6141707925863	0.40936575433009365	0.36340026140002724	0.4439381725235339	2430.813849212096	2157.8707521933616	2636.104868444744	0.46943343499244033	0.3996310386368464	0.5193750045548078	2787.495736985111	2373.009107425594	3084.048777046449	0.5230615696817307	0.43387990595105724	0.5837657692475181	3105.9396007701166	2576.3788815373778	3466.4011377917627	0.5717947446334118	0.46607926282235923	0.6393998549854052	3395.3171936331996	2767.578662639169	3796.756338903336	0.6151203171887579	0.496437943451592	0.6878082376939879	3652.5844434668447	2947.848508215553	4084.2053154269	0.6543739726431277	0.5250616137915805	0.7297148667582706	3885.6726495548924	3117.8158626944046	4333.046878810611	0.6897291612016199	0.5521215563265947	0.7660847713144795	4095.6117592152186	3278.4978014673193	4549.011372065379	0.7214735017195891	0.5775641422901172	0.7974843682442989	4284.10965321092	3429.575876918716	4735.462178634647	0.7499399349277373	0.6015541073649545	0.8246700966676859	4453.143333600904	3572.0282895330997	4896.891034012719
6	Mecklenburg-Vorpommern	2022-07-18	2021-07-31	2050-01-01	2025-09-27	2023-03-06	2050-01-01	2027-09-20	2023-11-08	2050-01-01	2029-08-30	2024-07-22	2050-01-01	2033-11-02	2026-02-13	2050-01-01	2038-10-11	2027-12-19	2050-01-01	2044-10-28	2030-03-24	2050-01-01	2050-01-01	2033-02-22	2050-01-01	2050-01-01	2034-12-31	2050-01-01	2050-01-01	2037-04-05	2050-01-01	2050-01-01	2044-04-26	2050-01-01	0.010030883320722182	0.0	0.04447744413071454	9.429030321478852	0.0	41.80879748287167	0.03892864151032004	0.0	0.07305835192575318	36.59292301970084	0.0	68.67485081020799	0.039275692187720514	0.007669505616594296	0.08456898862922584	36.91915065645728	7.209335279598638	79.49484931147228	0.06706651270661561	0.030091435807029183	0.09521293707643524	63.04252194421867	28.285949658607432	89.50016085184913	0.08214657318272776	0.030972962763981256	0.12349290391244666	77.2177787917641	29.11458499814238	116.08332967769987	0.11299605906484327	0.005687950205115063	0.18831382301449784	106.21629552095267	5.346673192808159	177.01499363362797	0.14658174538360186	0.0	0.26068316190361995	137.78684066058574	0.0	245.04217218940275	0.17676946534651064	0.0	0.33003393462956304	166.16329742572	0.0	310.23189855178924	0.2067603834723218	0.0	0.3929781297991558	194.3547604639825	0.0	369.3994420112065	0.23219583624587808	0.0	0.44999709469016447	218.2640860711254	0.0	422.9972690087546	0.25715628558752385	0.0	0.5016755811856486	241.72690845227243	0.0	471.5750463145097	0.2826989517274802	0.0	0.5486235266791244	265.7370146238314	0.0	515.7061150783769	0.30867702917825696	0.0	0.5910198709825627	290.15640742756153	0.0	555.558678723609	0.33371367650136113	0.0	0.6294018835452079	313.69085591127947	0.0	591.6377705324954
7	Niedersachsen	2020-08-17	2020-07-05	2020-09-26	2022-04-05	2021-12-28	2022-10-12	2023-02-03	2022-08-11	2024-03-27	2023-12-28	2023-03-30	2025-11-16	2025-12-26	2024-08-24	2029-06-27	2028-05-07	2026-04-25	2033-10-03	2031-03-28	2028-05-16	2038-12-25	2034-12-19	2031-01-10	2045-09-20	2037-04-29	2032-09-15	2049-12-27	2040-03-19	2034-10-08	2050-01-01	2049-02-20	2041-02-25	2050-01-01	0.07400917036865345	0.06346705618375739	0.08438228507554942	345.1787705993997	296.0103500410445	393.55897759236245	0.08822398142764588	0.07408749654408565	0.09908906881432122	411.4766493785404	345.5440838816155	462.1514169499942	0.13027349077852585	0.11692445832128186	0.14002385071920218	607.5955609910445	545.3356736104586	653.071239754359	0.15295136790934383	0.14036452639154956	0.1617699108100542	713.3651799291796	654.6601510901871	754.4948640180928	0.18331894616430883	0.16891049044193487	0.2007981901990848	854.9995649103364	787.7985274211843	936.5227590885314	0.2445979872971908	0.2085270662571799	0.28121995521567433	1140.8050127540978	972.570237023487	1311.609871125905	0.30049457451115885	0.24266416709605282	0.3558469344015098	1401.5066955200448	1131.7856753359904	1659.6701020486416	0.3525804188004621	0.27335610135741023	0.4228902691341392	1644.4350732853552	1274.9328567309612	1972.3602152416252	0.40065974111854286	0.30371051272876504	0.4827016992577734	1868.677032576884	1416.5058313669601	2251.320725338255	0.4451672189531434	0.33279691075480033	0.5358308810668251	2076.2599091974607	1552.1647917603887	2499.115229295672	0.4863678203038116	0.3606682279098223	0.5834977544805479	2268.419513896977	1682.156614971411	2721.433526897275	0.5246081947165389	0.38744684006547014	0.6263771332624964	2446.772620157937	1807.0520620653529	2921.4229495362833	0.5599075095391536	0.41303519376714287	0.6647383332651201	2611.4086244906125	1926.3961437299542	3100.3395863485202	0.5925843949838421	0.4375546176520632	0.6991568455102889	2763.8136182046396	2040.754736729223	3260.8675274599873
8	Nordrhein-Westfalen	2019-11-27	2019-11-21	2019-12-05	2020-03-27	2020-03-16	2020-08-11	2020-10-24	2020-10-10	2020-11-12	2021-06-01	2021-04-24	2021-07-07	2022-08-27	2022-06-09	2022-12-31	2024-02-05	2023-08-31	2024-11-01	2025-11-18	2025-02-20	2027-02-01	2028-03-05	2027-01-23	2029-12-30	2029-08-22	2028-04-11	2031-11-02	2031-06-05	2029-10-04	2034-01-31	2036-12-30	2034-05-18	2041-02-02	0.1306327508266067	0.1235480823239032	0.13703416316045225	2130.228267729475	2014.6985784558894	2234.6160986574946	0.18500909849327044	0.1745405846332507	0.19773342058460572	3016.943369129761	2846.2333136144193	3224.4388894731655	0.27293887172605386	0.262577636012478	0.2800843197967026	4450.81418123676	4281.853510455479	4567.3350029248295	0.3067348736378123	0.29838106079830923	0.31545577489952276	5001.925584411805	4865.699958438028	5144.137321286517	0.34960469429710456	0.33607491101271797	0.3604633601018027	5701.003749902884	5480.373573884392	5878.076013180096	0.4253706297364238	0.400103877185049	0.4479505025338802	6936.518859111863	6524.493925256594	7304.728844819984	0.4936425075258123	0.45673562976066556	0.5251768302907135	8049.828370223421	7447.987914507174	8564.058571550664	0.5532453638950972	0.5081764390018868	0.5916646265000185	9021.77214903735	8286.833190803769	9648.275064335801	0.6059630809439702	0.5546049407738772	0.6484736749138417	9881.439960953323	9043.942769199615	10574.660216820015	0.6525828346753998	0.5966054730728754	0.6972790331749058	10641.668285051745	9728.84544939938	11370.52919398319	0.6933874301390297	0.6345928024918936	0.7393181492219713	11307.068823277157	10348.304830235309	12056.061059362686	0.7292962411717406	0.669049279381885	0.7758025187931121	11892.633804787574	10910.186598880398	12651.01167395928	0.7610021149578378	0.7001583119356326	0.8071725590201811	12409.661488617461	11417.48159273436	13162.562919942095	0.7890571299011516	0.7283677010407555	0.8341368804732541	12867.15461729808	11877.492100871601	13602.270109877354
9	Rheinland-Pfalz	2020-09-29	2020-08-28	2020-11-06	2022-06-09	2022-02-02	2023-06-02	2023-05-01	2022-09-09	2025-04-04	2024-04-27	2023-04-30	2027-03-31	2026-07-02	2024-10-01	2031-09-25	2028-12-30	2026-06-09	2037-01-20	2032-01-21	2028-06-30	2043-08-06	2035-12-31	2031-02-22	2050-01-01	2038-07-01	2032-10-27	2050-01-01	2041-07-22	2034-11-16	2050-01-01	2050-01-01	2041-04-04	2050-01-01	0.05966779886434167	0.0466233516962417	0.0744722926579161	149.16949716085418	116.55837924060424	186.18073164479026	0.06671018335324919	0.04804102257990494	0.08171539847963373	166.77545838312295	120.10255644976235	204.28849619908434	0.1230628264507555	0.10752446884553583	0.13959261934034392	307.65706612688876	268.8111721138396	348.9815483508598	0.14376685548362514	0.13324946704084442	0.15586988920373265	359.41713870906284	333.123667602111	389.6747230093316	0.17421622185059332	0.15528797821850668	0.19241076272271312	435.5405546264833	388.2199455462667	481.0269068067828	0.23162428889991993	0.1881864859678647	0.2747400905927191	579.0607222497998	470.46621491966175	686.8502264817977	0.28447774454244334	0.21617396120659474	0.34908159089607693	711.1943613561084	540.4349030164868	872.7039772401923	0.3328481533478201	0.2432139855395168	0.4159683102620597	832.1203833695503	608.034963848792	1039.9207756551493	0.3782903147021055	0.26923362943708207	0.47582252604595787	945.7257867552637	673.0840735927052	1189.5563151148947	0.42152399898206966	0.29406684529234756	0.5295468131921094	1053.8099974551742	735.1671132308688	1323.8670329802735	0.46220592909534897	0.3179098524797747	0.577833611426046	1155.5148227383725	794.7746311994367	1444.584028565115	0.5001281457796978	0.34099762932775335	0.6213752086041154	1250.3203644492444	852.4940733193833	1553.4380215102885	0.535283188885427	0.3632324988443552	0.6603264894497204	1338.2079722135675	908.0812471108881	1650.816223624301	0.5679647789796827	0.38470605594718416	0.6952698235142571	1419.9119474492068	961.7651398679604	1738.1745587856428
