state	sample	success	sim_endpoints	sim_t_step	f_art0	f_art1	f_art2	f_art3	f_art4	f_art5	f_art6	f_prep0	f_prep1	f_prep2	f_prep3	f_prep4	f_prep5	f_prep6	k_art0	k_art1	k_art2	k_art3	k_art4	k_art5	k_art6	k_prep0	k_prep1	k_prep2	k_prep3	k_prep4	k_prep5	k_prep6	n_msm0	n_msm1	n_msm2	n_msm3	n_msm4	n_msm5	n_msm6
Baden-Württemberg	17	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1322.4166634325597	1243.080575276343	1235.1709766079582	1224.6458074541624	1216.8535073888756	1203.8637668876256	1196.2876120086325	0.0	0.0	251.40429256423377	475.2071153634482	288.2418221856203	740.909525097439	856.0899170081606	-7.014539080903989e-05	-7.014539080903989e-05	-7.014539080903989e-05	-7.014539080903989e-05	-7.014539080903989e-05	-7.014539080903989e-05	-7.014539080903989e-05	0	0.0003729452411858812	0.0002589250159309045	-0.0002910086302961276	0.00043030235309204033	0.00019707630287018842	9.453148076325526e-05	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	18	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1365.9752301603862	1232.9299650981359	1219.9630647256515	1202.792586435594	1190.142645174874	1169.173230741948	1157.0112886368433	0.0	0.0	317.1279970059985	518.1906721459387	373.4110940885628	800.9136269229562	891.5369022634443	-0.00011618504055101514	-0.00011618504055101514	-0.00011618504055101514	-0.00011618504055101514	-0.00011618504055101514	-0.00011618504055101514	-0.00011618504055101514	0	0.000473348927859724	0.0002350617983039949	-0.0002281533356070796	0.00041227295936041564	0.00015662094535528524	0.00013653093247480375	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	19	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1318.2816284379326	1275.3215968892061	1270.9696734947051	1265.1585184365742	1260.8412756583086	1253.6157965038024	1249.3848722241355	0.0	0.0	319.3831778845524	392.08792640967454	247.6064167429567	745.2618906956784	819.6555796325158	-3.756316579127578e-05	-3.756316579127578e-05	-3.756316579127578e-05	-3.756316579127578e-05	-3.756316579127578e-05	-3.756316579127578e-05	-3.756316579127578e-05	0	0.0004768163198888577	8.398099274406845e-05	-0.00022222490590303881	0.0004714402203111206	0.00012685958843699596	0.00010144931274791921	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	20	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1317.754304011782	1283.650091307199	1280.1820267967148	1275.5472304568843	1272.1010576163642	1266.3279167520334	1262.9441979673898	0.0	0.0	339.9661522947953	404.0444609838776	266.2438801333619	684.2472114716476	731.3395351065625	-2.972942104258727e-05	-2.972942104258727e-05	-2.972942104258727e-05	-2.972942104258727e-05	-2.972942104258727e-05	-2.972942104258727e-05	-2.972942104258727e-05	0	0.0005085320592996176	7.424784990125576e-05	-0.0002125667859863425	0.0003942434634111642	7.90709294412738e-05	0.0001321853277972735	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	21	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1350.6314820620553	1224.49504902965	1212.1709614174358	1195.8429517370446	1183.8072368361675	1163.8437873550404	1152.2582108050235	0.0	0.0	370.2075555928599	483.5133925734835	353.18134196615335	841.0865707054918	840.8488037672392	-0.00011116065020395588	-0.00011116065020395588	-0.00011116065020395588	-0.00011116065020395588	-0.00011116065020395588	-0.00011116065020395588	-0.00011116065020395588	0	0.0005553571699161404	0.00013269086573797464	-0.00020428962487550667	0.0004715555836266322	-4.104550213153627e-07	0.00014718106915655925	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	22	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1336.885574853463	1241.3599766474938	1231.9011992905746	1219.3331865248551	1210.0422464653977	1194.5805142675802	1185.577829645285	0.0	0.0	373.2150239666236	443.5113520408148	388.51854681508996	704.950424104162	844.7622648450317	-8.405348864371618e-05	-8.405348864371618e-05	-8.405348864371618e-05	-8.405348864371618e-05	-8.405348864371618e-05	-8.405348864371618e-05	-8.405348864371618e-05	0	0.0005600287341507298	8.202621235340097e-05	-8.615599768649847e-05	0.0003026196659224791	0.00023804806211378618	0.00012516872817864606	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	23	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1374.6934796486792	1287.0154150937155	1278.2937701314581	1266.693678060812	1258.109746270704	1243.8083396230543	1235.4718071951986	0.0	0.0	181.04583266767094	374.7457307206571	267.58861230465345	778.5149573454	772.8925050002385	-7.472208197343563e-05	-7.472208197343563e-05	-7.472208197343563e-05	-7.472208197343563e-05	-7.472208197343563e-05	-7.472208197343563e-05	-7.472208197343563e-05	0	0.0002668260122609146	0.0002204746795233533	-0.00016485354813720117	0.00048658805698903907	-9.573979665958624e-06	0.00011395005649045197	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	24	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1340.1282758629998	1277.3581885239278	1271.0516253335704	1262.6454989984054	1256.411575187532	1245.9996609289603	1239.91535704122	0.0	0.0	303.7755421012584	408.2716642818016	293.43197074732393	784.466939558997	746.562969479362	-5.4389237790202836e-05	-5.4389237790202836e-05	-5.4389237790202836e-05	-5.4389237790202836e-05	-5.4389237790202836e-05	-5.4389237790202836e-05	-5.4389237790202836e-05	0	0.00045284965022710904	0.00012071183841724309	-0.00017767769332017303	0.00046909246131006345	-6.440690505014871e-05	0.00019034509799621677	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	25	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1382.9814443114592	1223.2868809742313	1207.8982340916277	1187.5706041766061	1172.6312592362926	1147.9358638372842	1133.6528123192847	0.0	0.0	387.63801454920576	468.6263872230587	444.2477468572482	825.5920511289669	888.9029002176331	-0.00013911591274091232	-0.00013911591274091232	-0.00013911591274091232	-0.00013911591274091232	-0.00013911591274091232	-0.00013911591274091232	-0.00013911591274091232	0	0.0005824698783180477	9.486590570168099e-05	-3.8494850455073567e-05	0.000371271992703079	0.00010967183408590547	0.0001215868816117691	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	26	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1352.5603966295018	1258.8687462587468	1249.5794024283632	1237.2330180759739	1228.1033268850795	1212.9050069151403	1204.0528287911893	0.0	0.0	246.8656717104034	444.9832093502141	395.99344959932165	714.4947706153397	785.5338863224606	-8.138989688131996e-05	-8.138989688131996e-05	-8.138989688131996e-05	-8.138989688131996e-05	-8.138989688131996e-05	-8.138989688131996e-05	-8.138989688131996e-05	0	0.00036605758827701416	0.0002284390515831994	-7.681763186024237e-05	0.0003051169028064158	0.00012032425234377521	0.00011336589573938177	7580	7580	7580	7580	7580	7580	7580
